web-scraper-order,web-scraper-start-url,products,products-href,product_name,general_description,product_brand,product_description,product_specs
"1718377282-346","https://parts.cat.com/en/catcorp/shop-by-attachment#sortBy=0","360-3308: 2.7 m3 (3.5 yd3), Pin On","https://parts.cat.com/en/catcorp/360-3308","360-3308: 2.7 m3 (3.5 yd3), Pin On","Sand & Gravel Buckets are designed for aggregate handling in batch plant loader applications.","Brand: Cat","Cat® Loader Sand & Gravel Buckets are designed for aggregate handling in batch plant loader applications.","[{""product_specs"":""Width: 2750 mm""},{""product_specs"":""Height: 1381 mm""},{""product_specs"":""Weight: 1075 kg""},{""product_specs"":""Length: 1365 mm""},{""product_specs"":""Capacity: 2.7 m³""},{""product_specs"":""Base Edge Thickness: 25 mm""},{""product_specs"":""Interface Type: Pin On""}]"
"1718377284-347","https://parts.cat.com/en/catcorp/shop-by-attachment#sortBy=0","360-3258: 2.7 m3 (3.5 yd3), ISO Coupler","https://parts.cat.com/en/catcorp/360-3258","360-3258: 2.7 m3 (3.5 yd3), ISO Coupler","General Purpose Performance Series buckets provides higher fill factors and material retention in load and carry applications, as well as grading, leveling and dumping in a wide variety of applications and materials.","Brand: Cat","Cat® General Purpose Performance Series Buckets provide good all-around performance for stockpiling, re-handling, excavating and bank loading. As the name suggests, these buckets work well in loading from stockpiles as well as bank loading. Performance Series Buckets utilize a system-based approach to balance bucket shape against the machine's linkage, weight, lift and tilt capacities. The result is a bucket optimized for performance and productivity, and intended for use in production applications. The benefits of this design bring higher fill factors and material retention.","[{""product_specs"":""Width: 2727 mm""},{""product_specs"":""Height: 1381 mm""},{""product_specs"":""Weight: 961 kg""},{""product_specs"":""Length: 1320 mm""},{""product_specs"":""Capacity: 2.7 m³""},{""product_specs"":""Base Edge Thickness: 25 mm""},{""product_specs"":""Interface Type: ISO Coupler""}]"
"1718377287-348","https://parts.cat.com/en/catcorp/shop-by-attachment#sortBy=0","360-3257: 2.3 m3 (3.0 yd3), ISO Coupler","https://parts.cat.com/en/catcorp/360-3257","360-3257: 2.3 m3 (3.0 yd3), ISO Coupler","General Purpose Performance Series buckets provides higher fill factors and material retention in load and carry applications, as well as grading, leveling and dumping in a wide variety of applications and materials.","Brand: Cat","Cat® General Purpose Performance Series Buckets provide good all-around performance for stockpiling, re-handling, excavating and bank loading. As the name suggests, these buckets work well in loading from stockpiles as well as bank loading. Performance Series Buckets utilize a system-based approach to balance bucket shape against the machine's linkage, weight, lift and tilt capacities. The result is a bucket optimized for performance and productivity, and intended for use in production applications. The benefits of this design bring higher fill factors and material retention.","[{""product_specs"":""Width: 2532 mm""},{""product_specs"":""Height: 1338 mm""},{""product_specs"":""Weight: 831 kg""},{""product_specs"":""Length: 1258 mm""},{""product_specs"":""Capacity: 2.3 m³""},{""product_specs"":""Base Edge Thickness: 25 mm""},{""product_specs"":""Interface Type: ISO Coupler""}]"
"1718377289-349","https://parts.cat.com/en/catcorp/shop-by-attachment#sortBy=0","360-3256: 2.1 m3 (2.7 yd3), ISO Coupler","https://parts.cat.com/en/catcorp/360-3256","360-3256: 2.1 m3 (2.7 yd3), ISO Coupler","General Purpose Performance Series buckets provides higher fill factors and material retention in load and carry applications, as well as grading, leveling and dumping in a wide variety of applications and materials.","Brand: Cat","Cat® General Purpose Performance Series Buckets provide good all-around performance for stockpiling, re-handling, excavating and bank loading. As the name suggests, these buckets work well in loading from stockpiles as well as bank loading. Performance Series Buckets utilize a system-based approach to balance bucket shape against the machine's linkage, weight, lift and tilt capacities. The result is a bucket optimized for performance and productivity, and intended for use in production applications. The benefits of this design bring higher fill factors and material retention.","[{""product_specs"":""Width: 2532 mm""},{""product_specs"":""Height: 1294 mm""},{""product_specs"":""Weight: 793 kg""},{""product_specs"":""Length: 1195 mm""},{""product_specs"":""Capacity: 2.1 m³""},{""product_specs"":""Base Edge Thickness: 25 mm""},{""product_specs"":""Interface Type: ISO Coupler""}]"
"1718377291-350","https://parts.cat.com/en/catcorp/shop-by-attachment#sortBy=0","353-1697: 1220 mm (48 in)","https://parts.cat.com/en/catcorp/353-1697","353-1697: 1220 mm (48 in)","Pallet forks are for moving palletized loads on construction sites, handling bagged fertilizer and seed at landscaping and nursery sites.","Brand: Cat","Cat® Pallet Forks are designed to meet a wide variety of material handling needs. Use pallet forks for moving bulky or palletized materials on construction and industrial sites, handling bagged fertilizer and seed at landscaping and nursery sites.","[{""product_specs"":""Height: 934 mm""},{""product_specs"":""Width: 1164 mm""},{""product_specs"":""Weight: 96 kg""},{""product_specs"":""Tine Length: 1220""},{""product_specs"":""Tine Width: 100 mm""},{""product_specs"":""Tine Height: 541 mm""},{""product_specs"":""Tine Thickness: 40 mm""},{""product_specs"":""Tine Weight: 48 kg""},{""product_specs"":""Operating Weight: 195 kg""},{""product_specs"":""Group Weight: 195 kg""},{""product_specs"":""Overall Length: 1481.9 mm""},{""product_specs"":""Interface Type: Skid Steer Coupler""}]"
"1718377293-351","https://parts.cat.com/en/catcorp/shop-by-attachment#sortBy=0","353-1696: 1070 mm (42 in)","https://parts.cat.com/en/catcorp/353-1696","353-1696: 1070 mm (42 in)","Pallet forks are for moving palletized loads on construction sites, handling bagged fertilizer and seed at landscaping and nursery sites.","Brand: Cat","Cat® Pallet Forks are designed to meet a wide variety of material handling needs. Use pallet forks for moving bulky or palletized materials on construction and industrial sites, handling bagged fertilizer and seed at landscaping and nursery sites.","[{""product_specs"":""Height: 934 mm""},{""product_specs"":""Width: 1164 mm""},{""product_specs"":""Weight: 96 kg""},{""product_specs"":""Tine Length: 1070""},{""product_specs"":""Tine Width: 100 mm""},{""product_specs"":""Tine Height: 541 mm""},{""product_specs"":""Tine Thickness: 40 mm""},{""product_specs"":""Tine Weight: 44 kg""},{""product_specs"":""Operating Weight: 186 kg""},{""product_specs"":""Group Weight: 186 kg""},{""product_specs"":""Overall Length: 1331.9 mm""},{""product_specs"":""Interface Type: Skid Steer Coupler""}]"
"1718377296-352","https://parts.cat.com/en/catcorp/shop-by-attachment#sortBy=0","350-1581: 1.03 m3 (1.35 yd3), Pin On","https://parts.cat.com/en/catcorp/350-1581","350-1581: 1.03 m3 (1.35 yd3), Pin On","Excellent versatility for re-handling, clamping, dozing, grading, leveling and dumping.","Brand: Cat","Multi-Purpose Buckets for Cat® Backhoe Loaders offer excellent versatility by enabling one work tool to do the job of many. This bucket is ideal for material handling, clamping, grading, leveling and grasping irregularly shaped objects.","[{""product_specs"":""Width: 2406 mm""},{""product_specs"":""Height: 1037 mm""},{""product_specs"":""Weight: 685 kg""},{""product_specs"":""Length: 892 mm""},{""product_specs"":""Capacity: 1.03 m³""},{""product_specs"":""Base Edge Thickness: 20 mm""},{""product_specs"":""Cutting Edge Thickness: 19 mm""},{""product_specs"":""Jaw Opening: 900 mm""},{""product_specs"":""Clam Angle: 86 degrees""},{""product_specs"":""Interface Type: Pin On""}]"
"1718377298-353","https://parts.cat.com/en/catcorp/shop-by-attachment#sortBy=0","350-1580: 0.96 m3 (1.26 yd3), Pin On","https://parts.cat.com/en/catcorp/350-1580","350-1580: 0.96 m3 (1.26 yd3), Pin On","Excellent versatility for re-handling, clamping, dozing, grading, leveling and dumping.","Brand: Cat","Multi-Purpose Buckets for Cat® Backhoe Loaders offer excellent versatility by enabling one work tool to do the job of many. This bucket is ideal for material handling, clamping, grading, leveling and grasping irregularly shaped objects.","[{""product_specs"":""Width: 2262 mm""},{""product_specs"":""Height: 1038 mm""},{""product_specs"":""Weight: 659 kg""},{""product_specs"":""Length: 890 mm""},{""product_specs"":""Capacity: 0.96 m³""},{""product_specs"":""Base Edge Thickness: 20 mm""},{""product_specs"":""Cutting Edge Thickness: 19 mm""},{""product_specs"":""Jaw Opening: 902 mm""},{""product_specs"":""Clam Angle: 86 degrees""},{""product_specs"":""Interface Type: Pin On""}]"
"1718377300-354","https://parts.cat.com/en/catcorp/shop-by-attachment#sortBy=0","345-2828: 2.9 m3 (3.8 yd3), Pin On","https://parts.cat.com/en/catcorp/345-2828","345-2828: 2.9 m3 (3.8 yd3), Pin On","General Purpose Performance Series buckets provides higher fill factors and material retention in load and carry applications, as well as grading, leveling and dumping in a wide variety of applications and materials.","Brand: Cat","Cat® General Purpose Performance Series Buckets provide good all-around performance for stockpiling, re-handling, excavating and bank loading. As the name suggests, these buckets work well in loading from stockpiles as well as bank loading. Performance Series Buckets utilize a system-based approach to balance bucket shape against the machine's linkage, weight, lift and tilt capacities. The result is a bucket optimized for performance and productivity, and intended for use in production applications. The benefits of this design bring higher fill factors and material retention.","[{""product_specs"":""Width: 2727 mm""},{""product_specs"":""Height: 1419 mm""},{""product_specs"":""Weight: 1057 kg""},{""product_specs"":""Length: 1414 mm""},{""product_specs"":""Capacity: 2.9 m³""},{""product_specs"":""Base Edge Thickness: 25 mm""},{""product_specs"":""Interface Type: Pin On""}]"
"1718377303-355","https://parts.cat.com/en/catcorp/shop-by-attachment#sortBy=0","345-2826: 2.7 m3 (3.5 yd3), Pin On","https://parts.cat.com/en/catcorp/345-2826","345-2826: 2.7 m3 (3.5 yd3), Pin On","General Purpose Performance Series buckets provides higher fill factors and material retention in load and carry applications, as well as grading, leveling and dumping in a wide variety of applications and materials.","Brand: Cat","Cat® General Purpose Performance Series Buckets provide good all-around performance for stockpiling, re-handling, excavating and bank loading. As the name suggests, these buckets work well in loading from stockpiles as well as bank loading. Performance Series Buckets utilize a system-based approach to balance bucket shape against the machine's linkage, weight, lift and tilt capacities. The result is a bucket optimized for performance and productivity, and intended for use in production applications. The benefits of this design bring higher fill factors and material retention.","[{""product_specs"":""Width: 2727 mm""},{""product_specs"":""Height: 1381 mm""},{""product_specs"":""Weight: 1021 kg""},{""product_specs"":""Length: 1365 mm""},{""product_specs"":""Capacity: 2.7 m³""},{""product_specs"":""Base Edge Thickness: 25 mm""},{""product_specs"":""Interface Type: Pin On""}]"
"1718377305-356","https://parts.cat.com/en/catcorp/shop-by-attachment#sortBy=0","345-2824: 2.5 m3 (3.3 yd3), Pin On","https://parts.cat.com/en/catcorp/345-2824","345-2824: 2.5 m3 (3.3 yd3), Pin On","General Purpose Performance Series buckets provides higher fill factors and material retention in load and carry applications, as well as grading, leveling and dumping in a wide variety of applications and materials.","Brand: Cat","Cat® General Purpose Performance Series Buckets provide good all-around performance for stockpiling, re-handling, excavating and bank loading. As the name suggests, these buckets work well in loading from stockpiles as well as bank loading. Performance Series Buckets utilize a system-based approach to balance bucket shape against the machine's linkage, weight, lift and tilt capacities. The result is a bucket optimized for performance and productivity, and intended for use in production applications. The benefits of this design bring higher fill factors and material retention.","[{""product_specs"":""Width: 2528 mm""},{""product_specs"":""Height: 1382 mm""},{""product_specs"":""Weight: 977 kg""},{""product_specs"":""Length: 1365 mm""},{""product_specs"":""Capacity: 2.5 m³""},{""product_specs"":""Base Edge Thickness: 25 mm""},{""product_specs"":""Interface Type: Pin On""}]"
"1718377307-357","https://parts.cat.com/en/catcorp/shop-by-attachment#sortBy=0","345-2822: 2.3 m3 (3.0 yd3), Pin On","https://parts.cat.com/en/catcorp/345-2822","345-2822: 2.3 m3 (3.0 yd3), Pin On","General Purpose Performance Series buckets provides higher fill factors and material retention in load and carry applications, as well as grading, leveling and dumping in a wide variety of applications and materials.","Brand: Cat","Cat® General Purpose Performance Series Buckets provide good all-around performance for stockpiling, re-handling, excavating and bank loading. As the name suggests, these buckets work well in loading from stockpiles as well as bank loading. Performance Series Buckets utilize a system-based approach to balance bucket shape against the machine's linkage, weight, lift and tilt capacities. The result is a bucket optimized for performance and productivity, and intended for use in production applications. The benefits of this design bring higher fill factors and material retention.","[{""product_specs"":""Width: 2528 mm""},{""product_specs"":""Height: 1338 mm""},{""product_specs"":""Weight: 892 kg""},{""product_specs"":""Length: 1303 mm""},{""product_specs"":""Capacity: 2.3 m³""},{""product_specs"":""Base Edge Thickness: 25 mm""},{""product_specs"":""Interface Type: Pin On""}]"
"1718377310-358","https://parts.cat.com/en/catcorp/shop-by-attachment#sortBy=0","345-2820: 2.1 m3 (2.7 yd3), Pin On","https://parts.cat.com/en/catcorp/345-2820","345-2820: 2.1 m3 (2.7 yd3), Pin On","General Purpose Performance Series buckets provides higher fill factors and material retention in load and carry applications, as well as grading, leveling and dumping in a wide variety of applications and materials.","Brand: Cat","Cat® General Purpose Performance Series Buckets provide good all-around performance for stockpiling, re-handling, excavating and bank loading. As the name suggests, these buckets work well in loading from stockpiles as well as bank loading. Performance Series Buckets utilize a system-based approach to balance bucket shape against the machine's linkage, weight, lift and tilt capacities. The result is a bucket optimized for performance and productivity, and intended for use in production applications. The benefits of this design bring higher fill factors and material retention.","[{""product_specs"":""Width: 2528 mm""},{""product_specs"":""Height: 1294 mm""},{""product_specs"":""Weight: 855 kg""},{""product_specs"":""Length: 1240 mm""},{""product_specs"":""Capacity: 2.1 m³""},{""product_specs"":""Base Edge Thickness: 25 mm""},{""product_specs"":""Interface Type: Pin On""}]"
"1718377312-359","https://parts.cat.com/en/catcorp/shop-by-attachment#sortBy=0","345-2818: 1.9 m3 (2.5 yd3), Pin On","https://parts.cat.com/en/catcorp/345-2818","345-2818: 1.9 m3 (2.5 yd3), Pin On","General Purpose Performance Series buckets provides higher fill factors and material retention in load and carry applications, as well as grading, leveling and dumping in a wide variety of applications and materials.","Brand: Cat","Cat® General Purpose Performance Series Buckets provide good all-around performance for stockpiling, re-handling, excavating and bank loading. As the name suggests, these buckets work well in loading from stockpiles as well as bank loading. Performance Series Buckets utilize a system-based approach to balance bucket shape against the machine's linkage, weight, lift and tilt capacities. The result is a bucket optimized for performance and productivity, and intended for use in production applications. The benefits of this design bring higher fill factors and material retention.","[{""product_specs"":""Width: 2528 mm""},{""product_specs"":""Height: 1240 mm""},{""product_specs"":""Weight: 811 kg""},{""product_specs"":""Length: 1168 mm""},{""product_specs"":""Capacity: 1.9 m³""},{""product_specs"":""Base Edge Thickness: 25 mm""},{""product_specs"":""Interface Type: Pin On""}]"
"1718377315-360","https://parts.cat.com/en/catcorp/shop-by-attachment#sortBy=0","345-2816: 2.7 m3 (3.5 yd3), Pin On","https://parts.cat.com/en/catcorp/345-2816","345-2816: 2.7 m3 (3.5 yd3), Pin On","General Purpose Performance Series buckets provides higher fill factors and material retention in load and carry applications, as well as grading, leveling and dumping in a wide variety of applications and materials.","Brand: Cat","Cat® General Purpose Performance Series Buckets provide good all-around performance for stockpiling, re-handling, excavating and bank loading. As the name suggests, these buckets work well in loading from stockpiles as well as bank loading. Performance Series Buckets utilize a system-based approach to balance bucket shape against the machine's linkage, weight, lift and tilt capacities. The result is a bucket optimized for performance and productivity, and intended for use in production applications. The benefits of this design bring higher fill factors and material retention.","[{""product_specs"":""Width: 2528 mm""},{""product_specs"":""Height: 1418 mm""},{""product_specs"":""Weight: 968 kg""},{""product_specs"":""Length: 1365 mm""},{""product_specs"":""Capacity: 2.7 m³""},{""product_specs"":""Base Edge Thickness: 25 mm""},{""product_specs"":""Interface Type: Pin On""}]"
